frequencyoff_flag, symbols, interleave_flag, prbs
1, 2, 1, 18
1, 3, 1, 42
1, 1, 1, 16
1, 2, 1, 9
1, 1, 1, 30
1, 2, 1, 6
1, 1, 1, 25
1, 3, 1, 4
1, 2, 1, 34
1, 3, 1, 2
1, 3, 1, 31
1, 1, 1, 14
1, 3, 1, 13
1, 1, 1, 35
1, 3, 1, 28
1, 3, 1, 43
1, 2, 1, 45
1, 2, 1, 36
1, 3, 1, 37
1, 3, 1, 29
1, 2, 1, 40
1, 1, 1, 8
1, 3, 1, 17
1, 3, 1, 12
1, 1, 1, 1
1, 3, 1, 19
1, 3, 1, 44
1, 1, 1, 39
1, 1, 1, 22
1, 2, 1, 21
1, 3, 1, 3
1, 3, 1, 5
1, 1, 1, 26
1, 1, 1, 33
1, 1, 1, 20
1, 3, 1, 23
1, 1, 1, 38
1, 3, 1, 32
1, 2, 1, 15
1, 2, 1, 10
1, 1, 1, 7
1, 3, 1, 27
1, 2, 1, 41
1, 2, 1, 11
1, 3, 1, 24
1, 3, 1, 18
1, 3, 1, 42
1, 2, 1, 16
1, 1, 1, 9
1, 3, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 2, 1, 4
1, 1, 1, 34
1, 3, 1, 2
1, 2, 1, 31
1, 2, 1, 14
1, 1, 1, 13
1, 3, 1, 35
1, 1, 1, 28
1, 2, 1, 43
1, 3, 1, 45
1, 2, 1, 36
1, 1, 1, 37
1, 2, 1, 29
1, 3, 1, 40
1, 3, 1, 8
1, 3, 1, 17
1, 1, 1, 12
1, 3, 1, 1
1, 1, 1, 19
1, 2, 1, 44
1, 2, 1, 39
1, 3, 1, 22
1, 1, 1, 21
1, 3, 1, 3
1, 1, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 1, 1, 20
1, 3, 1, 23
1, 3, 1, 38
1, 2, 1, 32
1, 2, 1, 15
1, 1, 1, 10
1, 2, 1, 7
1, 3, 1, 27
1, 3, 1, 41
1, 2, 1, 11
1, 1, 1, 24
1, 2, 1, 18
1, 1, 1, 42
1, 2, 1, 16
1, 3, 1, 9
1, 1, 1, 30
1, 3, 1, 6
1, 1, 1, 25
1, 1, 1, 4
1, 2, 1, 34
1, 3, 1, 2
1, 2, 1, 31
1, 1, 1, 14
1, 3, 1, 13
1, 2, 1, 35
1, 2, 1, 28
1, 1, 1, 43
1, 3, 1, 45
1, 2, 1, 36
1, 3, 1, 37
1, 2, 1, 29
1, 2, 1, 40
1, 2, 1, 8
1, 2, 1, 17
1, 3, 1, 12
1, 1, 1, 1
1, 2, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 3, 1, 22
1, 1, 1, 21
1, 3, 1, 3
1, 2, 1, 5
1, 1, 1, 26
1, 1, 1, 33
1, 2, 1, 20
1, 1, 1, 23
1, 3, 1, 38
1, 3, 1, 32
1, 1, 1, 15
1, 2, 1, 10
1, 1, 1, 7
1, 2, 1, 27
1, 3, 1, 41
1, 2, 1, 11
1, 1, 1, 24
1, 2, 1, 18
1, 1, 1, 42
1, 3, 1, 16
1, 2, 1, 9
1, 2, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 3, 1, 4
1, 1, 1, 34
1, 1, 1, 2
1, 1, 1, 31
1, 1, 1, 14
1, 3, 1, 13
1, 1, 1, 35
1, 2, 1, 28
1, 3, 1, 43
1, 2, 1, 45
1, 2, 1, 36
1, 3, 1, 37
1, 1, 1, 29
1, 2, 1, 40
1, 1, 1, 8
1, 2, 1, 17
1, 3, 1, 12
1, 1, 1, 1
1, 1, 1, 19
1, 2, 1, 44
1, 2, 1, 39
1, 3, 1, 22
1, 2, 1, 21
1, 3, 1, 3
1, 1, 1, 5
1, 3, 1, 26
1, 3, 1, 33
1, 3, 1, 20
1, 1, 1, 23
1, 2, 1, 38
1, 2, 1, 32
1, 2, 1, 15
1, 2, 1, 10
1, 2, 1, 7
1, 3, 1, 27
1, 1, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 2, 1, 18
1, 3, 1, 42
1, 1, 1, 16
1, 3, 1, 9
1, 3, 1, 30
1, 1, 1, 6
1, 3, 1, 25
1, 1, 1, 4
1, 1, 1, 34
1, 1, 1, 2
1, 1, 1, 31
1, 3, 1, 14
1, 1, 1, 13
1, 1, 1, 35
1, 1, 1, 28
1, 1, 1, 43
1, 1, 1, 45
1, 3, 1, 36
1, 1, 1, 37
1, 1, 1, 29
1, 2, 1, 40
1, 1, 1, 8
1, 2, 1, 17
1, 2, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 2, 1, 22
1, 1, 1, 21
1, 2, 1, 3
1, 2, 1, 5
1, 2, 1, 26
1, 2, 1, 33
1, 1, 1, 20
1, 2, 1, 23
1, 2, 1, 38
1, 1, 1, 32
1, 3, 1, 15
1, 3, 1, 10
1, 2, 1, 7
1, 1, 1, 27
1, 1, 1, 41
1, 1, 1, 11
1, 2, 1, 24
1, 1, 1, 18
1, 2, 1, 42
1, 1, 1, 16
1, 1, 1, 9
1, 1, 1, 30
1, 2, 1, 6
1, 2, 1, 25
1, 2, 1, 4
1, 2, 1, 34
1, 2, 1, 2
1, 2, 1, 31
1, 3, 1, 14
1, 2, 1, 13
1, 1, 1, 35
1, 3, 1, 28
1, 3, 1, 43
1, 1, 1, 45
1, 2, 1, 36
1, 3, 1, 37
1, 3, 1, 29
1, 1, 1, 40
1, 2, 1, 8
1, 3, 1, 17
1, 2, 1, 12
1, 3, 1, 1
1, 1, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 2, 1, 22
1, 1, 1, 21
1, 3, 1, 3
1, 1, 1, 5
1, 3, 1, 26
1, 2, 1, 33
1, 1, 1, 20
1, 1, 1, 23
1, 2, 1, 38
1, 2, 1, 32
1, 3, 1, 15
1, 1, 1, 10
1, 1, 1, 7
1, 2, 1, 27
1, 3, 1, 41
1, 1, 1, 11
1, 1, 1, 24
1, 1, 1, 18
1, 3, 1, 42
1, 1, 1, 16
1, 1, 1, 9
1, 1, 1, 30
1, 3, 1, 6
1, 1, 1, 25
1, 1, 1, 4
1, 3, 1, 34
1, 1, 1, 2
1, 1, 1, 31
1, 2, 1, 14
1, 2, 1, 13
1, 2, 1, 35
1, 3, 1, 28
1, 1, 1, 43
1, 3, 1, 45
1, 1, 1, 36
1, 2, 1, 37
1, 1, 1, 29
1, 2, 1, 40
1, 1, 1, 8
1, 2, 1, 17
1, 2, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 3, 1, 22
1, 1, 1, 21
1, 1, 1, 3
1, 3, 1, 5
1, 1, 1, 26
1, 2, 1, 33
1, 1, 1, 20
1, 2, 1, 23
1, 2, 1, 38
1, 2, 1, 32
1, 1, 1, 15
1, 2, 1, 10
1, 1, 1, 7
1, 1, 1, 27
1, 3, 1, 41
1, 3, 1, 11
1, 3, 1, 24
1, 2, 1, 18
1, 1, 1, 42
1, 2, 1, 16
1, 3, 1, 9
1, 2, 1, 30
1, 3, 1, 6
1, 1, 1, 25
1, 3, 1, 4
1, 1, 1, 34
1, 1, 1, 2
1, 3, 1, 31
1, 2, 1, 14
1, 3, 1, 13
1, 1, 1, 35
1, 2, 1, 28
1, 1, 1, 43
1, 2, 1, 45
1, 2, 1, 36
1, 2, 1, 37
1, 1, 1, 29
1, 1, 1, 40
1, 3, 1, 8
1, 3, 1, 17
1, 1, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 2, 1, 44
1, 2, 1, 39
1, 1, 1, 22
1, 3, 1, 21
1, 2, 1, 3
1, 2, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 1, 1, 20
1, 2, 1, 23
1, 2, 1, 38
1, 2, 1, 32
1, 3, 1, 15
1, 1, 1, 10
1, 2, 1, 7
1, 2, 1, 27
1, 3, 1, 41
1, 2, 1, 11
1, 3, 1, 24
1, 2, 1, 18
1, 1, 1, 42
1, 3, 1, 16
1, 1, 1, 9
1, 2, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 3, 1, 4
1, 1, 1, 34
1, 2, 1, 2
1, 3, 1, 31
1, 2, 1, 14
1, 3, 1, 13
1, 2, 1, 35
1, 2, 1, 28
1, 2, 1, 43
1, 1, 1, 45
1, 1, 1, 36
1, 1, 1, 37
1, 3, 1, 29
1, 2, 1, 40
1, 1, 1, 8
1, 3, 1, 17
1, 1, 1, 12
1, 2, 1, 1
1, 1, 1, 19
1, 3, 1, 44
1, 1, 1, 39
1, 2, 1, 22
1, 1, 1, 21
1, 1, 1, 3
1, 3, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 3, 1, 20
1, 3, 1, 23
1, 1, 1, 38
1, 2, 1, 32
1, 3, 1, 15
1, 2, 1, 10
1, 3, 1, 7
1, 3, 1, 27
1, 1, 1, 41
1, 3, 1, 11
1, 3, 1, 24
1, 3, 1, 18
1, 1, 1, 42
1, 3, 1, 16
1, 3, 1, 9
1, 3, 1, 30
1, 2, 1, 6
1, 3, 1, 25
1, 1, 1, 4
1, 2, 1, 34
1, 1, 1, 2
1, 2, 1, 31
1, 2, 1, 14
1, 3, 1, 13
1, 3, 1, 35
1, 3, 1, 28
1, 1, 1, 43
1, 2, 1, 45
1, 2, 1, 36
1, 3, 1, 37
1, 3, 1, 29
1, 3, 1, 40
1, 1, 1, 8
1, 1, 1, 17
1, 1, 1, 12
1, 1, 1, 1
1, 1, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 1, 1, 22
1, 2, 1, 21
1, 1, 1, 3
1, 1, 1, 5
1, 3, 1, 26
1, 3, 1, 33
1, 2, 1, 20
1, 2, 1, 23
1, 1, 1, 38
1, 2, 1, 32
1, 1, 1, 15
1, 2, 1, 10
1, 1, 1, 7
1, 2, 1, 27
1, 2, 1, 41
1, 2, 1, 11
1, 3, 1, 24
1, 3, 1, 18
1, 1, 1, 42
1, 1, 1, 16
1, 2, 1, 9
1, 1, 1, 30
1, 1, 1, 6
1, 1, 1, 25
1, 1, 1, 4
1, 3, 1, 34
1, 3, 1, 2
1, 2, 1, 31
1, 2, 1, 14
1, 2, 1, 13
1, 1, 1, 35
1, 1, 1, 28
1, 3, 1, 43
1, 3, 1, 45
1, 1, 1, 36
1, 3, 1, 37
1, 1, 1, 29
1, 3, 1, 40
1, 1, 1, 8
1, 2, 1, 17
1, 3, 1, 12
1, 2, 1, 1
1, 3, 1, 19
1, 2, 1, 44
1, 2, 1, 39
1, 1, 1, 22
1, 2, 1, 21
1, 3, 1, 3
1, 1, 1, 5
1, 1, 1, 26
1, 2, 1, 33
1, 3, 1, 20
1, 3, 1, 23
1, 3, 1, 38
1, 3, 1, 32
1, 1, 1, 15
1, 1, 1, 10
1, 1, 1, 7
1, 1, 1, 27
1, 3, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 2, 1, 18
1, 2, 1, 42
1, 1, 1, 16
1, 3, 1, 9
1, 2, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 1, 1, 4
1, 1, 1, 34
1, 3, 1, 2
1, 1, 1, 31
1, 2, 1, 14
1, 1, 1, 13
1, 2, 1, 35
1, 2, 1, 28
1, 1, 1, 43
1, 3, 1, 45
1, 2, 1, 36
1, 2, 1, 37
1, 3, 1, 29
1, 2, 1, 40
1, 2, 1, 8
1, 1, 1, 17
1, 2, 1, 12
1, 1, 1, 1
1, 2, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 2, 1, 22
1, 3, 1, 21
1, 1, 1, 3
1, 3, 1, 5
1, 3, 1, 26
1, 1, 1, 33
1, 2, 1, 20
1, 1, 1, 23
1, 1, 1, 38
1, 1, 1, 32
1, 1, 1, 15
1, 2, 1, 10
1, 3, 1, 7
1, 1, 1, 27
1, 1, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 1, 1, 18
1, 1, 1, 42
1, 3, 1, 16
1, 3, 1, 9
1, 3, 1, 30
1, 2, 1, 6
1, 3, 1, 25
1, 3, 1, 4
1, 1, 1, 34
1, 3, 1, 2
1, 2, 1, 31
1, 2, 1, 14
1, 2, 1, 13
1, 3, 1, 35
1, 1, 1, 28
1, 1, 1, 43
1, 1, 1, 45
1, 3, 1, 36
1, 3, 1, 37
1, 1, 1, 29
1, 3, 1, 40
1, 3, 1, 8
1, 1, 1, 17
1, 3, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 1, 1, 44
1, 3, 1, 39
1, 1, 1, 22
1, 2, 1, 21
1, 2, 1, 3
1, 3, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 3, 1, 20
1, 2, 1, 23
1, 1, 1, 38
1, 2, 1, 32
1, 3, 1, 15
1, 1, 1, 10
1, 1, 1, 7
1, 3, 1, 27
1, 2, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 3, 1, 18
1, 3, 1, 42
1, 1, 1, 16
1, 3, 1, 9
1, 1, 1, 30
1, 1, 1, 6
1, 1, 1, 25
1, 2, 1, 4
1, 2, 1, 34
1, 1, 1, 2
1, 2, 1, 31
1, 1, 1, 14
1, 2, 1, 13
1, 3, 1, 35
1, 1, 1, 28
1, 2, 1, 43
1, 1, 1, 45
1, 2, 1, 36
1, 3, 1, 37
1, 3, 1, 29
1, 3, 1, 40
1, 3, 1, 8
1, 2, 1, 17
1, 2, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 2, 1, 44
1, 3, 1, 39
1, 1, 1, 22
1, 1, 1, 21
1, 3, 1, 3
1, 1, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 1, 1, 20
1, 2, 1, 23
1, 3, 1, 38
1, 3, 1, 32
1, 1, 1, 15
1, 1, 1, 10
1, 1, 1, 7
1, 1, 1, 27
1, 3, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 3, 1, 18
1, 2, 1, 42
1, 2, 1, 16
1, 2, 1, 9
1, 3, 1, 30
1, 2, 1, 6
1, 1, 1, 25
1, 3, 1, 4
1, 1, 1, 34
1, 3, 1, 2
1, 1, 1, 31
1, 2, 1, 14
1, 3, 1, 13
1, 1, 1, 35
1, 3, 1, 28
1, 3, 1, 43
1, 1, 1, 45
1, 1, 1, 36
1, 3, 1, 37
1, 3, 1, 29
1, 3, 1, 40
1, 1, 1, 8
1, 3, 1, 17
1, 1, 1, 12
1, 2, 1, 1
1, 1, 1, 19
1, 1, 1, 44
1, 2, 1, 39
1, 2, 1, 22
1, 1, 1, 21
1, 2, 1, 3
1, 3, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 1, 1, 20
1, 2, 1, 23
1, 1, 1, 38
1, 1, 1, 32
1, 3, 1, 15
1, 2, 1, 10
1, 3, 1, 7
1, 1, 1, 27
1, 3, 1, 41
1, 1, 1, 11
1, 3, 1, 24
1, 3, 1, 18
1, 1, 1, 42
1, 2, 1, 16
1, 1, 1, 9
1, 3, 1, 30
1, 3, 1, 6
1, 1, 1, 25
1, 3, 1, 4
1, 2, 1, 34
1, 3, 1, 2
1, 1, 1, 31
1, 2, 1, 14
1, 2, 1, 13
1, 3, 1, 35
1, 1, 1, 28
1, 2, 1, 43
1, 1, 1, 45
1, 2, 1, 36
1, 1, 1, 37
1, 3, 1, 29
1, 2, 1, 40
1, 2, 1, 8
1, 2, 1, 17
1, 1, 1, 12
1, 2, 1, 1
1, 3, 1, 19
1, 2, 1, 44
1, 2, 1, 39
1, 2, 1, 22
1, 3, 1, 21
1, 1, 1, 3
1, 2, 1, 5
1, 2, 1, 26
1, 1, 1, 33
1, 3, 1, 20
1, 3, 1, 23
1, 2, 1, 38
1, 3, 1, 32
1, 2, 1, 15
1, 3, 1, 10
1, 2, 1, 7
1, 3, 1, 27
1, 1, 1, 41
1, 2, 1, 11
1, 3, 1, 24
1, 2, 1, 18
1, 1, 1, 42
1, 1, 1, 16
1, 3, 1, 9
1, 2, 1, 30
1, 2, 1, 6
1, 2, 1, 25
1, 2, 1, 4
1, 2, 1, 34
1, 3, 1, 2
1, 1, 1, 31
1, 3, 1, 14
1, 1, 1, 13
1, 1, 1, 35
1, 3, 1, 28
1, 2, 1, 43
1, 2, 1, 45
1, 2, 1, 36
1, 2, 1, 37
1, 3, 1, 29
1, 1, 1, 40
1, 3, 1, 8
1, 3, 1, 17
1, 1, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 3, 1, 44
1, 2, 1, 39
1, 2, 1, 22
1, 3, 1, 21
1, 1, 1, 3
1, 3, 1, 5
1, 1, 1, 26
1, 3, 1, 33
1, 2, 1, 20
1, 3, 1, 23
1, 3, 1, 38
1, 1, 1, 32
1, 3, 1, 15
1, 3, 1, 10
1, 3, 1, 7
1, 3, 1, 27
1, 2, 1, 41
1, 3, 1, 11
1, 2, 1, 24
1, 2, 1, 18
1, 1, 1, 42
1, 2, 1, 16
1, 3, 1, 9
1, 1, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 3, 1, 4
1, 2, 1, 34
1, 1, 1, 2
1, 1, 1, 31
1, 3, 1, 14
1, 3, 1, 13
1, 2, 1, 35
1, 3, 1, 28
1, 3, 1, 43
1, 3, 1, 45
1, 3, 1, 36
1, 3, 1, 37
1, 2, 1, 29
1, 3, 1, 40
1, 1, 1, 8
1, 3, 1, 17
1, 2, 1, 12
1, 1, 1, 1
1, 3, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 1, 1, 22
1, 2, 1, 21
1, 2, 1, 3
1, 3, 1, 5
1, 3, 1, 26
1, 2, 1, 33
1, 3, 1, 20
1, 2, 1, 23
1, 3, 1, 38
1, 1, 1, 32
1, 1, 1, 15
1, 2, 1, 10
1, 1, 1, 7
1, 1, 1, 27
1, 3, 1, 41
1, 3, 1, 11
1, 2, 1, 24
1, 3, 1, 18
1, 3, 1, 42
1, 3, 1, 16
1, 3, 1, 9
1, 1, 1, 30
1, 3, 1, 6
1, 3, 1, 25
1, 3, 1, 4
1, 3, 1, 34
1, 1, 1, 2
1, 1, 1, 31
1, 2, 1, 14
1, 3, 1, 13
1, 1, 1, 35
1, 3, 1, 28
1, 2, 1, 43
1, 3, 1, 45
1, 2, 1, 36
1, 2, 1, 37
1, 2, 1, 29
1, 1, 1, 40
1, 3, 1, 8
1, 2, 1, 17
1, 2, 1, 12
1, 1, 1, 1
1, 1, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 3, 1, 22
1, 2, 1, 21
1, 1, 1, 3
1, 3, 1, 5
1, 2, 1, 26
1, 3, 1, 33
1, 1, 1, 20
1, 1, 1, 23
1, 2, 1, 38
1, 2, 1, 32
1, 2, 1, 15
1, 1, 1, 10
1, 3, 1, 7
1, 1, 1, 27
1, 1, 1, 41
1, 1, 1, 11
1, 2, 1, 24
1, 1, 1, 18
1, 3, 1, 42
1, 1, 1, 16
1, 2, 1, 9
1, 2, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 3, 1, 4
1, 2, 1, 34
1, 3, 1, 2
1, 2, 1, 31
1, 1, 1, 14
1, 1, 1, 13
1, 3, 1, 35
1, 3, 1, 28
1, 2, 1, 43
1, 1, 1, 45
1, 3, 1, 36
1, 2, 1, 37
1, 2, 1, 29
1, 2, 1, 40
1, 3, 1, 8
1, 2, 1, 17
1, 1, 1, 12
1, 1, 1, 1
1, 3, 1, 19
1, 3, 1, 44
1, 1, 1, 39
1, 3, 1, 22
1, 1, 1, 21
1, 3, 1, 3
1, 2, 1, 5
1, 1, 1, 26
1, 2, 1, 33
1, 3, 1, 20
1, 1, 1, 23
1, 1, 1, 38
1, 3, 1, 32
1, 1, 1, 15
1, 3, 1, 10
1, 2, 1, 7
1, 2, 1, 27
1, 2, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 1, 1, 18
1, 3, 1, 42
1, 1, 1, 16
1, 3, 1, 9
1, 3, 1, 30
1, 2, 1, 6
1, 3, 1, 25
1, 3, 1, 4
1, 2, 1, 34
1, 1, 1, 2
1, 2, 1, 31
1, 3, 1, 14
1, 2, 1, 13
1, 1, 1, 35
1, 3, 1, 28
1, 2, 1, 43
1, 2, 1, 45
1, 1, 1, 36
1, 2, 1, 37
1, 1, 1, 29
1, 1, 1, 40
1, 2, 1, 8
1, 2, 1, 17
1, 2, 1, 12
1, 2, 1, 1
1, 2, 1, 19
1, 1, 1, 44
1, 2, 1, 39
1, 3, 1, 22
1, 2, 1, 21
1, 1, 1, 3
1, 1, 1, 5
1, 2, 1, 26
1, 1, 1, 33
1, 2, 1, 20
1, 2, 1, 23
1, 1, 1, 38
1, 1, 1, 32
1, 3, 1, 15
1, 2, 1, 10
1, 1, 1, 7
1, 2, 1, 27
1, 2, 1, 41
1, 2, 1, 11
1, 2, 1, 24
1, 2, 1, 18
1, 3, 1, 42
1, 3, 1, 16
1, 3, 1, 9
1, 2, 1, 30
1, 3, 1, 6
1, 2, 1, 25
1, 1, 1, 4
1, 2, 1, 34
1, 2, 1, 2
1, 2, 1, 31
1, 3, 1, 14
1, 1, 1, 13
1, 2, 1, 35
1, 2, 1, 28
1, 2, 1, 43
1, 2, 1, 45
1, 1, 1, 36
1, 3, 1, 37
1, 1, 1, 29
1, 2, 1, 40
1, 1, 1, 8
1, 1, 1, 17
1, 2, 1, 12
1, 3, 1, 1
1, 3, 1, 19
1, 1, 1, 44
1, 1, 1, 39
1, 3, 1, 22
1, 3, 1, 21
1, 2, 1, 3
1, 2, 1, 5
1, 3, 1, 26
1, 1, 1, 33
1, 1, 1, 20
1, 1, 1, 23
1, 1, 1, 38
1, 3, 1, 32
1, 2, 1, 15
1, 3, 1, 10
1, 2, 1, 7
1, 2, 1, 27
1, 2, 1, 41
1, 1, 1, 11
1, 1, 1, 24
1, 3, 1, 18
1, 1, 1, 42
1, 2, 1, 16
1, 1, 1, 9
1, 2, 1, 30
1, 2, 1, 6
1, 3, 1, 25
1, 3, 1, 4
1, 1, 1, 34
1, 1, 1, 2
